sentence_type,country,msg_type,repeat,mmsi,status,turn,speed,accuracy,lon,lat,course,heading,second,maneuver,raim,radio,ais_version,imo,callsign,shipname,ship_type,to_bow,to_stern,to_port,to_starboard,epfd,month,day,hour,minute,draught,destination,dte
AIVDM,Panama,1,0,352002071,0,0.0,11.4,False,73.69083,14.40296,343.6,344,36,0,False,99713,,,,,,,,,,,,,,,,,
AIVDM,India,1,0,419001019,0,0.0,12.1,False,72.04254,16.113637,151.5,151,37,0,False,34179,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,352004121,0,0.0,11.3,False,72.101808,15.463698,334.6,331,36,0,False,66956,,,,,,,,,,,,,,,,,
AIVDM,Vietnam,1,0,574005600,0,0.0,14.3,True,72.908283,14.20505,132.0,133,38,0,False,115478,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636019156,0,0.0,10.2,True,67.938563,14.680518,319.0,323,33,0,False,2219,,,,,,,,,,,,,,,,,
AIVDM,Singapore,1,0,566829000,0,3.0,13.9,False,70.279973,18.461448,160.3,157,32,0,False,24600,,,,,,,,,,,,,,,,,
AIVDM,India,1,0,419001470,0,0.0,11.3,False,73.5865,13.994733,341.0,340,37,0,False,2232,,,,,,,,,,,,,,,,,
AIVDM,Norway,3,0,258105000,0,0.0,12.5,True,69.59465,15.190117,133.0,134,36,0,False,70397,,,,,,,,,,,,,,,,,
AIVDM,Japan,1,0,431938000,0,-0.0,14.4,False,69.587627,15.084447,141.1,142,35,0,False,49465,,,,,,,,,,,,,,,,,
AIVDM,India,1,0,419740000,0,0.0,12.6,True,72.466917,14.213833,139.0,139,38,0,False,66977,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.3,True,72.931122,15.296042,177.1,179,38,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636020364,0,0.0,12.2,True,72.459028,14.246933,142.0,140,36,0,False,49510,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636020930,0,0.0,11.2,False,74.843688,11.922615,343.0,342,36,0,False,2252,,,,,,,,,,,,,,,,,
AIVDM,South Korea,1,0,440438000,0,0.0,11.7,False,73.867667,13.896667,339.0,340,36,0,False,66989,,,,,,,,,,,,,,,,,
AIVDM,Cyprus,1,0,212546000,0,0.0,11.2,True,70.321437,17.464938,126.5,126,36,0,False,2220,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,352898749,0,3.0,10.7,False,70.302815,15.0334,134.1,135,39,0,False,49338,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538003951,0,0.0,12.5,True,70.82755,15.8759,318.0,320,37,0,False,24600,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636024494,0,1.0,12.1,True,73.211792,14.90209,334.8,334,17,0,False,2289,,,,,,,,,,,,,,,,,
AIVDM,Malta,1,0,215577000,0,0.0,17.1,True,69.745128,14.660742,129.5,127,39,0,False,49588,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.3,True,72.931123,15.296012,179.3,179,39,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Norway,1,0,257394000,0,0.0,12.9,True,73.071433,14.569233,336.0,337,40,0,False,115264,,,,,,,,,,,,,,,,,
AIVDM,India,1,0,419001541,0,1.0,13.3,True,72.98704,15.278598,337.5,338,39,0,False,24600,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538003860,9,-128.0,0.0,True,70.67493,18.362518,360.0,511,39,0,True,114857,,,,,,,,,,,,,,,,,
